name,initiatives,count,type
SuMi TRUST,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Poseidon Principles', 'Principles for Financial Action for the 21st Century', 'Principles for Responsible Investment', 'UN Global Compact', 'Equator Principles', 'Climate Action 100+', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change', 'Green Bond Principles', 'Science Based Targets initiative']",17,am
Credit Suisse,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Climate Bonds Initiative', 'Sustainable Development Goals', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles', 'Equator Principles', 'Science Based Targets initiative', 'Principles for Responsible Banking', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Green Bond Principles', 'Climate Action 100+', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Intergovernmental Panel on Climate Change']",16,am
T. Rowe Price,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Intergovernmental Panel on Climate Change', 'The Greenhouse Gas Protocol']",6,am
CMBC,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles']",6,am
BOCOM,['Stock Exchange of Hong Kong'],1,am
Edward Jones,['Sustainable Development Goals'],1,am
BOCHK,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Stock Exchange of Hong Kong', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Green Investment Principle']",7,am
Hang Seng,"['Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Equator Principles', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Principles for Responsible Investment', 'UN Global Compact', 'Stock Exchange of Hong Kong', 'Carbon Disclosure Project']",9,am
NB,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Equator Principles', 'UN Global Compact', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']",7,am
Fidelity,"['Climate Action 100+', 'Sustainable Markets Initiative', 'International Platform on Sustainable Finance', 'Global Real Estate Sustainability Benchmark', 'Science Based Targets initiative']",5,am
Goldman Sachs,"['Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Principles for Responsible Banking', 'Task Force on Climate-related Financial Disclosure', 'Center for Climate-Aligned Finance', 'Institutional Investors Group on Climate Change']",6,am
PIMCO,"['Sustainable Development Goals', 'UN Global Compact', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'The Greenhouse Gas Protocol', 'Climate Action 100+', 'Principles for Responsible Investment', 'Institutional Investors Group on Climate Change', 'Climate Bonds Initiative', 'Green Bond Principles']",12,am
Muzinich,"['Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure']",4,am
Allianz,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'Institutional Investors Group on Climate Change', 'Green Bond Principles', 'Carbon Disclosure Project', 'Climate Bonds Initiative', 'Investor Group on Climate Change', 'International Corporate Governance Network', 'Sustainability Accounting Standards Board']",10,am
Everbright,['Stock Exchange of Hong Kong'],1,am
First Sentier,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Investor Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']",5,am
Barings,"['Climate Action 100+', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact']",4,am
Deutsche,"['Principles for Responsible Investment', 'UN Global Compact', 'Sustainable Development Goals', 'Green Bond Principles', 'Sustainability Linked Loan Principles']",5,am
UOB AM,"['Principles for Responsible Investment', 'Sustainable Development Goals']",2,am
Ashmore,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'UN Global Compact', 'IFC Performance Standard']",4,am
TIAA,"['Sustainable Development Goals', 'Principles for Responsible Investment', 'Investor Network on Climate Risk', 'Green Bond Principles', 'Global Real Estate Sustainability Benchmark']",5,am
Wellington,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'International Corporate Governance Network', 'Investor Network on Climate Risk', 'Sustainable Development Goals']",7,am
Ninety One,"['Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Climate Action 100+']",6,am
UBS,"['Sustainable Development Goals', 'Net Zero Asset Managers initiative', 'Principles for Responsible Banking', 'Task Force on Climate-related Financial Disclosure', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'UN Global Compact', 'Climate Action 100+', 'Green Bond Principles', 'Paris Agreement Capital Transition Assessment', 'Institutional Investors Group on Climate Change', 'United Nations Framework Convention on Climate Change', 'Principles for Responsible Investment', 'IFC Performance Standard', 'Global Investors for Sustainable Development Alliance ', 'Green Investment Principle', 'Intergovernmental Panel on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Carbon Disclosure Project']",19,am
Vanguard,['Sustainability Accounting Standards Board'],1,am
