,Company,Type,Initiatives,Count
29,CAPITAL,am,"['Principles for Responsible Investment', 'UN Global Compact']",2
30,Cathay,pf,"['Equator Principles', 'Principles for Responsible Banking', 'Principles for Responsible Investment', 'UN Global Compact', 'Asia Investor Group on Climate Change', 'Investor Group on Climate Change', 'Climate Action 100+']",7
31,CCB,am,"['Global Reporting Initiative', 'Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'FTSE Russell', 'Task Force on Climate-related Financial Disclosure']",5
32,CHBank,ins,['Stock Exchange of Hong Kong'],1
33,CICC,ab,['Stock Exchange of Hong Kong'],1
34,CIMB,ab,"['Sustainable Development Goals', 'UN Global Compact', 'Green Bond Principles', 'Principles for Responsible Investment', 'Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainability Accounting Standards Board', 'Collective Commitment to Climate Action', 'Task Force on Climate-related Financial Disclosure', 'Global Investors for Sustainable Development Alliance ', 'Asia Sustainable Finance Initiative', 'ASEAN Green Bond Standards', 'United Nations Framework Convention on Climate Change', 'FTSE Russell', 'Stock Exchange of Hong Kong']",15
35,CitiBank,am,"['Sustainable Development Goals', 'Equator Principles', 'Green Bond Principles', 'Global Investors for Sustainable Development Alliance ', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles', 'Principles for Responsible Banking', 'Sustainable Markets Initiative', 'Partnership for Carbon Accounting Financials', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change', 'Asia Investor Group on Climate Change', 'Climate Action 100+', 'Investor Group on Climate Change', 'Global Reporting Initiative', 'United Nations Framework Convention on Climate Change']",16
36,CITICBank,am,"['Stock Exchange of Hong Kong', 'Global Reporting Initiative', 'Sustainable Development Goals', 'Intergovernmental Panel on Climate Change']",4
37,CITICCapital,ab,['Stock Exchange of Hong Kong'],1
38,CMB,am,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles', 'Stock Exchange of Hong Kong']",5
39,CMBC,ab,"['Stock Exchange of Hong Kong', 'Intergovernmental Panel on Climate Change', 'Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Green Bond Principles']",6
40,CPP,ab,"['Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Institutional Investors Group on Climate Change', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'Sustainability Accounting Standards Board', 'Intergovernmental Panel on Climate Change', 'International Corporate Governance Network', 'Network of Central Banks and Supervisors for Greening the Financial System']",9
41,CreditSuisse,ab,"['Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure', 'Sustainable Development Goals', 'Climate Bonds Initiative', 'Paris Agreement Capital Transition Assessment', 'Poseidon Principles', 'Equator Principles', 'Science Based Targets initiative', 'Principles for Responsible Banking', 'Global Real Estate Sustainability Benchmark', 'UN Global Compact', 'Green Bond Principles', 'Climate Action 100+', 'International Corporate Governance Network', 'Principles for Responsible Investment', 'Intergovernmental Panel on Climate Change']",16
42,Dahsing,am,['Stock Exchange of Hong Kong'],1
43,DaiichiLife,pf,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'FTSE Russell', 'UN Global Compact', 'Carbon Disclosure Project', 'Principles for Financial Action for the 21st Century', 'Global Real Estate Sustainability Benchmark', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'Climate Bonds Initiative', 'Green Bond Principles']",12
44,Danamon,am,"['Sustainable Development Goals', 'Global Reporting Initiative']",2
45,DBS,ab,"['UN Global Compact', 'Sustainability Accounting Standards Board', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Carbon Disclosure Project', 'Green Investment Principle', 'Sustainable Development Goals']",8
46,Deutsche,ins,"['Principles for Responsible Investment', 'UN Global Compact', 'Sustainable Development Goals', 'Green Bond Principles', 'Sustainability Linked Loan Principles']",5
47,DGB,ab,"['Principles for Responsible Banking', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Global Reporting Initiative', 'Carbon Disclosure Project']",6
48,Edward,am,['Sustainable Development Goals'],1
49,EFUND,ins,"['UN Global Compact', 'Principles for Responsible Investment', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Climate Action 100+']",11
50,EVERBRIGHT,am,['Stock Exchange of Hong Kong'],1
51,FDC,am,"['Carbon Disclosure Project', 'Global Real Estate Sustainability Benchmark', 'Intergovernmental Panel on Climate Change', 'Paris Agreement Capital Transition Assessment', 'Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Sustainable Development Goals', 'Climate Action 100+', 'Climate Bonds Initiative', 'Green Bond Principles', 'Institutional Investors Group on Climate Change']",12
52,FF,pf,['International Corporate Governance Network'],1
53,FIDELITY,am,"['Climate Action 100+', 'Sustainable Markets Initiative', 'International Platform on Sustainable Finance', 'Global Real Estate Sustainability Benchmark', 'Science Based Targets initiative']",5
54,Fisch,am,['Principles for Responsible Investment'],1
55,Fukoku,am,"['Principles for Responsible Investment', 'Sustainable Development Goals']",2
56,Fullerton,pf,"['Principles for Responsible Investment', 'Sustainable Development Goals']",2
57,FWD,ins,"['Global Reporting Initiative', 'Principles for Responsible Investment', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure']",4
58,GAM,am,"['UN Global Compact', 'Principles for Responsible Investment', 'Climate Action 100+', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Investor Network on Climate Risk', 'Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Task Force on Climate-related Financial Disclosure']",12
59,GEPF,pf,"['International Corporate Governance Network', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Global Reporting Initiative']",4
60,GOLDMAN,ins,"['Sustainable Development Goals', 'Sustainability Accounting Standards Board', 'Center for Climate-Aligned Finance', 'Institutional Investors Group on Climate Change']",4
61,GPF,am,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact', 'Carbon Disclosure Project', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Principles for Responsible Investment', 'FTSE Russell', 'Stock Exchange of Hong Kong', 'Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'The Greenhouse Gas Protocol', 'Intergovernmental Panel on Climate Change']",13
62,GPIF,am,"['Principles for Responsible Investment', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board', 'FTSE Russell', 'Carbon Risk Real Estate Monitor', 'International Corporate Governance Network', 'Climate Action 100+']",8
63,Hana,pf,"['Global Reporting Initiative', 'Principles for Responsible Banking', 'Sustainable Development Goals', 'UN Global Compact', 'Task Force on Climate-related Financial Disclosure', 'Equator Principles', 'Carbon Disclosure Project']",7
64,HANGSENG,pf,"['Global Reporting Initiative', 'Sustainable Development Goals', 'Equator Principles', 'Principles for Responsible Investment', 'UN Global Compact', 'Stock Exchange of Hong Kong', 'Carbon Disclosure Project', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']",9
65,Harbor,pf,['Carbon Disclosure Project'],1
66,HLB,ab,"['Global Reporting Initiative', 'Sustainable Development Goals', 'IFC Performance Standard', 'Task Force on Climate-related Financial Disclosure']",4
67,HSBCAM,am,"['UN Global Compact', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Climate Action 100+', 'International Corporate Governance Network', 'Investor Group on Climate Change', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'Investor Network on Climate Risk', 'Climate Bonds Initiative', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project']",13
68,HSBCBank,ab,"['Sustainable Markets Initiative', 'Task Force on Climate-related Financial Disclosure', 'Paris Agreement Capital Transition Assessment', 'Stock Exchange of Hong Kong', 'Equator Principles', 'Intergovernmental Panel on Climate Change', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Carbon Disclosure Project']",9
69,ICBC,ab,"['Stock Exchange of Hong Kong', 'Global Reporting Initiative']",2
70,Insight,am,"['Principles for Responsible Investment', 'Task Force on Climate-related Financial Disclosure', 'Carbon Disclosure Project', 'Institutional Investors Group on Climate Change', 'Sustainable Development Goals', 'Climate Action 100+', 'Green Bond Principles', 'UN Global Compact']",8
71,Invesco,ab,"['Principles for Responsible Investment', 'UN Global Compact', 'Climate Action 100+', 'Task Force on Climate-related Financial Disclosure', 'Asia Investor Group on Climate Change', 'Carbon Disclosure Project', 'Climate Bonds Initiative', 'Global Real Estate Sustainability Benchmark', 'Institutional Investors Group on Climate Change', 'Investor Group on Climate Change', 'Sustainability Accounting Standards Board', 'Global Reporting Initiative', 'Sustainable Development Goals', 'Net Zero Asset Managers initiative']",14
72,ISIF,am,"['Principles for Responsible Investment', 'Carbon Disclosure Project', 'Climate Action 100+', 'Equator Principles', 'Sustainable Development Goals', 'UN Global Compact']",6
73,JapanPost,am,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'UN Global Compact']",3
74,JPMORGAN,pf,"['Global Reporting Initiative', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'Climate Action 100+', 'Equator Principles', 'Global Real Estate Sustainability Benchmark', 'Green Bond Principles', 'Institutional Investors Group on Climate Change', 'Task Force on Climate-related Financial Disclosure', 'Center for Climate-Aligned Finance']",11
75,KBFG,ins,"['Global Reporting Initiative', 'Equator Principles', 'Task Force on Climate-related Financial Disclosure', 'Intergovernmental Panel on Climate Change', 'Partnership for Carbon Accounting Financials', 'Science Based Targets initiative', 'Green Bond Principles', 'Principles for Responsible Banking', 'Collective Commitment to Climate Action', 'Carbon Disclosure Project', 'Net Zero Bank Alliance', 'UN Global Compact', 'Sustainability Accounting Standards Board', 'Sustainable Development Goals', 'Principles for Responsible Investment']",15
76,Krungthai,am,"['Global Reporting Initiative', 'Sustainable Development Goals']",2
77,KWSP_EPF,ins,"['Principles for Responsible Investment', 'Sustainable Development Goals']",2
78,Kyobo,ab,"['Global Reporting Initiative', 'Carbon Disclosure Project', 'UN Global Compact', 'Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure']",5
79,Legal&General,ins,"['Global Reporting Initiative', 'Science Based Targets initiative', 'Sustainable Development Goals', 'Principles for Responsible Investment', 'UN Global Compact', 'Carbon Disclosure Project', 'The Greenhouse Gas Protocol', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']",9
80,LPF,am,['Global Reporting Initiative'],1
81,Mandiri,am,"['Sustainable Development Goals', 'Task Force on Climate-related Financial Disclosure', 'United Nations Framework Convention on Climate Change', 'Global Reporting Initiative']",4
82,Manulife,ab,"['Equator Principles', 'Global Real Estate Sustainability Benchmark', 'Climate Action 100+', 'Principles for Responsible Investment', 'Sustainable Development Goals', 'Carbon Disclosure Project', 'Science Based Targets initiative', 'Global Reporting Initiative', 'Task Force on Climate-related Financial Disclosure', 'Sustainability Accounting Standards Board']",10
