,name,total_sent,e_sent,percent,percentile
0,1STSTATE,839,39.0,4.648390941597139,23.2
1,ABERDEEN,957,90.0,9.404388714733543,48.8
2,AIA,2480,310.0,12.5,60.8
3,AIIB,152,12.0,7.894736842105263,44.8
4,ALLIANZ,658,60.0,9.118541033434651,48.0
5,AP1,3121,56.0,1.7942966997757128,6.4
6,AP2,5007,82.0,1.6377072099061314,4.8
7,AP3,4439,78.0,1.7571525118269882,5.6
8,AP4,4443,48.0,1.0803511141120865,2.4
9,AP7,1817,45.0,2.476609796367639,8.8
10,AVIVA,1063,60.0,5.644402634054563,32.0
