,name,total_sent,e_sent,percent,percentile,type
0,1STSTATE,839,350,41.716328963051254,57.6,am
1,ABERDEEN,957,437,45.66353187042842,74.4,am
2,AIA,2480,1006,40.564516129032256,52.8,ins
3,AIIB,152,105,69.07894736842105,98.4,ab
4,ALLIANZ,658,279,42.401215805471125,61.6,am
5,AP1,3121,789,25.28035885933996,12.8,pf
6,AP2,5007,2065,41.242260834831235,56.0,pf
7,AP3,4439,1370,30.86280693849966,22.4,pf
8,AP4,4443,1438,32.365518793607926,28.0,pf
9,AP7,1817,940,51.73362685745735,88.8,pf
10,AVIVA,1063,501,47.130761994355595,76.8,am
11,AXA,18389,5644,30.692261678177168,21.6,ins
12,AXAAM,914,576,63.01969365426696,97.6,am
13,Aegon,9743,2705,27.76352252899518,16.8,am
14,Ameriprise,986,264,26.774847870182555,14.4,am
15,AsahiMutual,450,59,13.111111111111112,0.8,ins
16,Ashmore,827,291,35.18742442563482,38.4,am
17,BDO,1357,586,43.18349299926308,67.2,ab
18,BEA,699,320,45.779685264663804,75.2,ab
19,BNI,2037,876,43.004418262150224,65.6,ab
20,BNP,619,210,33.925686591276246,32.0,am
21,BOA,3461,685,19.791967639410572,8.0,am
22,BOC,3045,600,19.704433497536947,7.2,ab
23,BOCHK,1873,776,41.43085958355579,56.8,am
24,BOCOM,286,140,48.95104895104895,81.6,am
25,BRI,836,406,48.5645933014354,80.8,ab
26,BangkokBank,1037,386,37.22275795564127,48.0,ab
27,Barings,205,102,49.75609756097561,82.4,am
28,BlackRock,1934,889,45.96690796277146,76.0,am
29,CAPITAL,62,28,45.16129032258064,72.8,am
30,CCB,625,247,39.519999999999996,51.2,ab
31,CHBank,365,134,36.71232876712329,45.6,ab
32,CICC,4775,980,20.523560209424083,8.8,am
33,CIMB,5728,2484,43.365921787709496,69.6,ab
34,CITICBank,905,287,31.712707182320443,25.6,ab
35,CITICCapital,48,15,31.25,24.0,am
36,CMB,1471,497,33.78653976886471,31.2,ab
37,CMBC,2466,862,34.95539334955393,36.8,am
38,CPP,2970,1487,50.06734006734007,83.2,pf
39,Cathay,317,182,57.413249211356465,96.0,ins
40,CitiBank,234,165,70.51282051282051,99.2,ab
41,CreditSuisse,1383,745,53.86840202458424,92.8,am
42,DBS,991,502,50.655903128153376,84.8,ab
43,DGB,1806,416,23.034330011074196,11.2,ins
44,Dahsing,258,91,35.27131782945737,40.0,ab
45,DaiichiLife,3634,1329,36.57127132636214,44.8,ins
46,Danamon,905,498,55.027624309392266,94.4,ab
47,Deutsche,84,61,72.61904761904762,100.0,am
48,EFUND,486,170,34.97942386831276,37.6,am
49,EVERBRIGHT,218,68,31.19266055045872,23.2,am
50,Edward,491,206,41.955193482688394,60.8,am
51,FDC,614,341,55.537459283387626,95.2,pf
