,name,total_sent,e_sent,percent,percentile,type
52,FF,10090,1821,18.047571853320118,5.6,pf
53,FIDELITY,720,377,52.361111111111114,90.4,am
54,FWD,293,84,28.668941979522184,18.4,ins
55,Fisch,70,17,24.285714285714285,12.0,am
56,Fukoku,589,84,14.261460101867574,2.4,ins
57,Fullerton,43,19,44.18604651162791,72.0,am
58,GAM,538,220,40.89219330855018,54.4,am
59,GEPF,3576,595,16.638702460850112,4.0,pf
60,GOLDMAN,919,278,30.25027203482046,20.8,am
61,GPF,3863,2064,53.429976702045046,92.0,pf
62,GPIF,928,319,34.375,34.4,pf
63,HANGSENG,4710,1731,36.751592356687894,46.4,am
64,HLB,1683,469,27.86690433749257,17.6,ab
65,HSBCAM,1206,526,43.61525704809287,71.2,am
66,HSBCBank,6706,2294,34.208171786459886,33.6,ab
67,Hana,881,314,35.64131668558456,41.6,ab
68,Harbor,101,43,42.57425742574257,62.4,am
69,ICBC,790,248,31.39240506329114,24.8,ab
70,ISIF,202,96,47.524752475247524,79.2,pf
71,Insight,572,205,35.83916083916084,43.2,am
72,Invesco,1607,661,41.132545115121346,55.2,am
73,JPMORGAN,1428,596,41.73669467787115,58.4,am
74,JapanPost,594,162,27.27272727272727,15.2,ins
75,KBFG,2760,985,35.688405797101446,42.4,ins
76,KWSP_EPF,1068,373,34.925093632958806,36.0,pf
77,Krungthai,3364,1150,34.18549346016647,32.8,ab
78,Kyobo,2008,550,27.39043824701195,16.0,ins
79,LPF,1571,325,20.68746021642266,9.6,pf
80,Legal&General,719,311,43.254520166898466,68.8,am
81,MUFG,2350,878,37.361702127659576,48.8,ab
82,Mandiri,1801,990,54.96946141032759,93.6,ab
83,Manulife,888,380,42.792792792792795,64.0,am
84,Maybank,3964,1263,31.86175580221998,26.4,ab
85,MeijiYasuda,2138,325,15.201122544434051,3.2,ins
86,Mellon,1067,421,39.456419868791,50.4,am
87,Mizuho,134,69,51.49253731343284,87.2,ab
88,Morgan,1821,735,40.362438220757824,52.0,am
89,Muzinich,224,75,33.482142857142854,28.8,am
90,NPF,2302,416,18.071242397914858,6.4,pf
91,NZSF,399,248,62.15538847117794,96.8,pf
92,NanShanLife,856,217,25.350467289719624,13.6,ins
93,Natixis,122,28,22.950819672131146,10.4,am
94,Neuberger,656,227,34.603658536585364,35.2,am
95,Ninetyone,724,277,38.25966850828729,49.6,am
96,NipponLife,4400,613,13.931818181818182,1.6,ins
97,OCBC,1126,489,43.42806394316163,70.4,ab
98,PGIM,463,232,50.10799136069114,84.0,am
99,PICTET,360,155,43.05555555555556,66.4,am
100,PIMCO,375,178,47.46666666666667,77.6,am
101,PSBC,907,326,35.942668136714445,44.0,ab
102,Pinebridge,653,267,40.888208269525265,53.6,am
103,PingAn,7353,2728,37.10050319597443,47.2,ins
104,Prudential,1531,640,41.802743305029395,60.0,ins
105,RHB,3897,1381,35.437516037977936,40.8,ab
106,SBI,699,302,43.204577968526465,68.0,ab
107,SCB,987,514,52.077001013171234,89.6,ab
108,SMTH,2992,1361,45.48796791443851,73.6,am
109,Schroders,586,303,51.70648464163823,88.0,am
110,ShinKong,3256,1091,33.507371007371006,29.6,ins
111,Shinhan,609,319,52.38095238095239,91.2,ab
112,Sinopac,7083,2957,41.74784695750388,59.2,am
113,SunLife,2363,1198,50.698264917477786,85.6,ins
114,TCW,24,7,29.166666666666668,20.0,am
115,TIAA,425,137,32.23529411764706,27.2,am
116,TROWEPRICE,483,230,47.61904761904761,80.0,am
117,TaiwanLife,342,99,28.947368421052634,19.2,ins
118,TokioMarine,7262,3107,42.784356926466536,63.2,ins
119,UBS,3539,1809,51.116134501271546,86.4,am
120,UOB,1335,574,42.99625468164794,64.8,ab
121,UOBAM,40,19,47.5,78.4,am
122,VP,2482,414,16.680096696212733,4.8,am
123,Vanguard,505,178,35.24752475247524,39.2,am
124,Wellington,537,180,33.5195530726257,30.4,am
