,name,sentiment_score,type,difference_from_avg
0,AIIB,1.0069305100433064,ab,0.12282491213899471
1,BDO,0.9152128836708882,ab,0.03110728576657651
2,BEA,0.9192389746125679,ab,0.035133376708256225
3,BNI,0.8958337819177268,ab,0.011728184013415133
4,BOC,0.7916819522155593,ab,0.09242364568875239
5,BRI,0.8567422765742126,ab,0.027363321330099
6,BangkokBank,0.9545107741395792,ab,0.07040517623526754
7,CCB,0.9055013401162403,ab,0.021395742211928637
8,CHBank,0.8494776658445624,ab,0.034627932059749233
9,CIMB,0.868339518917564,ab,0.015766078986747645
10,CITICBank,0.9244182970960424,ab,0.04031269919173075
11,CMB,0.9100042876774623,ab,0.025898689773150685
12,CitiBank,0.8247874561029531,ab,0.059318141801358526
13,DBS,0.9018833278029241,ab,0.017777729898612482
14,Dahsing,0.8073035822957589,ab,0.07680201560855271
15,Danamon,0.6089184830610722,ab,0.27518711484323943
16,HLB,0.9391535830938132,ab,0.0550479851895016
17,HSBCBank,0.869142165726588,ab,0.014963432177723668
18,Hana,0.8928801854428028,ab,0.008774587538491141
19,ICBC,0.9296619881104984,ab,0.045556390206186737
20,Krungthai,0.9524442628484642,ab,0.06833866494415253
21,MUFG,0.8381978503790137,ab,0.045907747525297915
22,Mandiri,0.7859774977687436,ab,0.09812810013556805
23,Maybank,0.866511806125965,ab,0.017593791778346635
24,Mizuho,0.8372554222221242,ab,0.04685017568218741
25,OCBC,0.8527465599966271,ab,0.03135903790768457
26,PSBC,0.957165940635163,ab,0.07306034273085138
27,RHB,0.8617192396251296,ab,0.022386358279182006
28,SBI,0.9909354990006871,ab,0.10682990109637547
29,SCB,0.9037740762724251,ab,0.019668478368113473
30,Shinhan,0.9955306332627729,ab,0.11142503535846127
31,UOB,0.8774973103387306,ab,0.0066082875655810724
32,1STSTATE,0.8721253119574613,am,0.04782631728863973
33,ABERDEEN,0.9393962704366566,am,0.11509727576783502
34,ALLIANZ,0.855182477091285,am,0.030883482422463415
35,AVIVA,0.8233360015882767,am,0.0009629930805449272
36,AXAAM,0.8703904344943039,am,0.04609143982548225
37,Aegon,0.8815637408408128,am,0.05726474617199118
38,Ameriprise,0.8585899386903726,am,0.03429094402155097
39,Ashmore,0.9162953147305971,am,0.0919963200617755
40,BNP,0.8711834664763556,am,0.04688447180753397
41,BOA,0.8417387285194049,am,0.017439733850583283
42,BOCHK,0.8910428870950289,am,0.06674389242620726
43,BOCOM,1.0056325500664134,am,0.18133355539759177
44,Barings,0.8846699966760612,am,0.06037100200723955
45,BlackRock,0.844924151240041,am,0.02062515657121944
46,CAPITAL,0.0,am,0.8242989946688216
47,CICC,0.9248123647383766,am,0.10051337006955496
48,CITICCapital,0.0,am,0.8242989946688216
49,CMBC,0.8914699322941813,am,0.06717093762535964
50,CreditSuisse,0.8636332731538843,am,0.03933427848506266
51,Deutsche,0.9634559728927411,am,0.13915697822391948
52,EFUND,0.877658744512262,am,0.053359749843440385
53,EVERBRIGHT,0.8674079090376312,am,0.04310891436880959
54,Edward,0.7358189720986028,am,0.08848002257021881
55,FIDELITY,0.8586906297549702,am,0.03439163508614862
56,Fisch,0.6931471805599453,am,0.13115181410887633
57,Fullerton,0.975887980580284,am,0.15158898591146241
58,GAM,0.8550505050087349,am,0.0307515103399133
59,GOLDMAN,0.8803611704493877,am,0.05606217578056605
60,HANGSENG,0.8354245954924273,am,0.011125600823605697
61,HSBCAM,0.8480174391701579,am,0.02371844450133631
62,Harbor,0.8789231108451449,am,0.054624116176323234
63,Insight,0.9315464480406713,am,0.10724745337184971
64,Invesco,0.8880012805942371,am,0.06370228592541549
65,JPMORGAN,0.884396015599699,am,0.06009702093087743
66,Legal&General,0.8719962792440548,am,0.047697284575233145
67,Manulife,0.9025702988518842,am,0.0782713041830626
68,Mellon,0.9121135805032895,am,0.08781458583446788
69,Morgan,0.8274646805333397,am,0.003165685864518042
70,Muzinich,0.844978701501122,am,0.02067970683230036
71,Natixis,0.7173678845628635,am,0.10693111010595813
72,Neuberger,0.8508868516754869,am,0.026587857006665327
73,Ninetyone,0.8762877846852255,am,0.051988790016403885
74,PGIM,0.9095504320527954,am,0.08525143738397378
75,PICTET,0.8316556456448269,am,0.007356650976005241
76,PIMCO,0.9046195602429854,am,0.08032056557416378
77,Pinebridge,0.8562451123039622,am,0.03194611763514055
78,SMTH,0.7740330928739543,am,0.05026590179486734
79,Schroders,0.8604888987340065,am,0.03618990406518485
80,Sinopac,0.8716249552835038,am,0.047325960614682194
81,TCW,0.0,am,0.8242989946688216
82,TIAA,0.860777866148926,am,0.036478871480104424
83,TROWEPRICE,0.8770574924813835,am,0.05275849781256192
84,UBS,0.898158801295524,am,0.07385980662670233
85,UOBAM,0.8153694027821675,am,0.008929591886654098
86,VP,0.8770235837593457,am,0.05272458909052413
87,Vanguard,0.936128908283264,am,0.11182991361444239
88,Wellington,0.8988680879525136,am,0.07456909328369199
89,AP1,0.8696620778559072,pf,0.01580827745260327
90,AP2,0.8346167678265027,pf,0.019237032576801205
91,AP3,0.8662410535956823,pf,0.012387253192378322
92,AP4,0.8456768145697798,pf,0.008176985833524109
93,AP7,0.8811550138867787,pf,0.027301213483474807
94,CPP,0.8732221647766871,pf,0.019368364373383185
95,FDC,0.854446397532649,pf,0.0005925971293450072
96,FF,0.7514633748988638,pf,0.10239042550444011
97,GEPF,0.8265159777316027,pf,0.027337822671701262
98,GPF,0.8321203020921253,pf,0.021733498311178656
99,GPIF,0.8595867046869449,pf,0.005732904283640927
100,ISIF,0.9035247321711763,pf,0.049670931767872406
