,name,sentiment_score,type,difference_from_avg
0,AIIB,0.3970963334655162,ab,0.08697031382886317
1,BDO,0.34927212452962547,ab,0.03914610489297243
2,BEA,0.34265518314565335,ab,0.032529163509000314
3,BNI,0.199604235613158,ab,-0.11052178402349505
4,BOC,0.09247790160825911,ab,-0.21764811802839393
5,BRI,0.2482573581704679,ab,-0.06186866146618514
6,BangkokBank,0.25759266117115054,ab,-0.0525333584655025
7,CCB,0.3501530438387065,ab,0.04002702420205345
8,CHBank,0.31609991349830235,ab,0.005973893861649315
9,CIMB,0.27447474589832016,ab,-0.03565127373833288
10,CITICBank,0.18950145643926952,ab,-0.12062456319738352
11,CMB,0.2346548622487726,ab,-0.07547115738788043
12,CitiBank,1.0638492372048842,ab,0.7537232175682311
13,DBS,0.4164673988747746,ab,0.10634137923812154
14,Dahsing,0.27731865045234266,ab,-0.032807369184310375
15,Danamon,0.06615182441085131,ab,-0.24397419522580172
16,HLB,0.24685986402787835,ab,-0.06326615560877469
17,HSBCBank,0.13624853105568746,ab,-0.17387748858096558
18,Hana,0.35642718168179005,ab,0.04630116204513701
19,ICBC,0.3338171053715385,ab,0.023691085734885486
20,Krungthai,0.17380304133314164,ab,-0.1363229783035114
21,MUFG,0.3318857161682469,ab,0.021759696531593875
22,Mandiri,0.11044092710584938,ab,-0.19968509253080366
23,Maybank,0.2524791372420714,ab,-0.057646882394581656
24,Mizuho,0.42335869862304,ab,0.11323267898638695
25,OCBC,0.3390559459389115,ab,0.028929926302258435
26,PSBC,0.2968961375235482,ab,-0.01322988211310483
27,RHB,0.2786881114964124,ab,-0.03143790814024061
28,SBI,0.24265610183114858,ab,-0.06746991780550446
29,SCB,0.3667542343439818,ab,0.05662821470732876
30,Shinhan,0.4991704480066127,ab,0.18904442836995966
31,UOB,0.45986451605298334,ab,0.1497384964163303
32,1STSTATE,0.5068447568135208,am,0.10064831995256684
33,ABERDEEN,0.47651333795267475,am,0.07031690109172078
34,ALLIANZ,0.5301969013786808,am,0.12400046451772684
35,AVIVA,0.5327486520054497,am,0.12655221514449577
36,AXAAM,0.8902666309856645,am,0.48407019412471053
37,Aegon,0.22819297990099735,am,-0.17800345695995662
38,Ameriprise,0.26040125831742233,am,-0.14579517854353163
39,Ashmore,0.24634244907039393,am,-0.15985398779056004
40,BNP,0.24452387027963,am,-0.16167256658132398
41,BOA,0.1218895491804589,am,-0.28430688768049506
42,BOCHK,0.30837784635981774,am,-0.09781859050113623
43,BOCOM,0.514283975145659,am,0.10808753828470508
44,Barings,0.4439675173213549,am,0.03777108046040095
45,BlackRock,0.5062874387188152,am,0.10009100185786124
46,CAPITAL,0.29338192722391826,am,-0.11281450963703571
47,CICC,0.09220488615863125,am,-0.3139915507023227
48,CITICCapital,0.1800865342943799,am,-0.22610990256657407
49,CMBC,0.2620002807525858,am,-0.14419615610836817
50,CreditSuisse,0.45184190954644105,am,0.045645472685487076
51,Deutsche,0.5830896346026417,am,0.17689319774168777
52,EFUND,0.33072971914337584,am,-0.07546671771757812
53,EVERBRIGHT,0.27486010478093,am,-0.131336332080024
54,Edward,0.2360142862998438,am,-0.17018215056111016
55,FIDELITY,0.6370111011031132,am,0.23081466424215924
56,Fisch,0.16031633659831226,am,-0.2458801002626417
57,Fullerton,0.4869614342599261,am,0.08076499739897214
58,GAM,0.42318825722252995,am,0.016991820361575982
59,GOLDMAN,0.3543565262307036,am,-0.051839910630250396
60,HANGSENG,0.25159468781745337,am,-0.1546017490435006
61,HSBCAM,0.5924058875564393,am,0.18620945069548533
62,Harbor,0.3566429294217881,am,-0.04955350743916587
63,Insight,0.37705239996244216,am,-0.029144036898511805
64,Invesco,0.4473059243622424,am,0.041109487501288455
65,JPMORGAN,0.4079799223934583,am,0.0017834855325043475
66,Legal&General,0.49109182259040185,am,0.08489538572944788
67,Manulife,0.690426409337555,am,0.284229972476601
68,Mellon,0.3545422031157088,am,-0.05165423374524519
69,Morgan,0.43413644482598973,am,0.027940007965035762
70,Muzinich,0.5407735529635606,am,0.1345771161026066
71,Natixis,0.21875483994380446,am,-0.1874415969171495
72,Neuberger,0.47206064958878385,am,0.06586421272782989
73,Ninetyone,0.48437013736701257,am,0.0781737005060586
74,PGIM,0.4738261372616524,am,0.06762970040069843
75,PICTET,0.5513045218977436,am,0.14510808503678962
76,PIMCO,0.8700735035977921,am,0.46387706673683815
77,Pinebridge,0.4546789170983848,am,0.04848248023743085
78,SMTH,0.3258903542187131,am,-0.08030608264224087
79,Schroders,0.48801243337946215,am,0.08181599651850818
80,Sinopac,0.3393076162903731,am,-0.06688882057058088
81,TCW,0.2141933920230905,am,-0.19200304483786346
82,TIAA,0.3407127947127015,am,-0.06548364214825247
83,TROWEPRICE,0.4527202649060119,am,0.04652382804505795
84,UBS,0.4504574985571161,am,0.04426106169616212
85,UOBAM,0.49731868312215594,am,0.09112224626120197
86,VP,0.10477191576556885,am,-0.3014245210953851
87,Vanguard,0.46207551484060705,am,0.05587907797965308
88,Wellington,0.43183544050848693,am,0.025639003647532965
89,AP1,0.18758391693349832,pf,-0.23164161289314403
90,AP2,0.4015730597131213,pf,-0.017652470113521057
91,AP3,0.28884286253169666,pf,-0.1303826672949457
92,AP4,0.2848011015015364,pf,-0.13442442832510593
93,AP7,0.5267096445792547,pf,0.10748411475261238
94,CPP,0.7801800104943776,pf,0.3609544806677352
95,FDC,0.7633133637835002,pf,0.3440878339568579
96,FF,0.11406302323821053,pf,-0.3051625065884318
97,GEPF,0.134845751259421,pf,-0.28437977856722135
