,name,sentiment_score,type,difference_from_avg
0,AIIB,0.3970963334655162,ab,0.07557629283678668
1,BDO,0.3492721245296251,ab,0.027752083900895563
2,BEA,0.34265518314565335,ab,0.021135142516923833
3,BNI,0.19960423561315818,ab,-0.12191580501557134
4,BOC,0.09247790160825911,ab,-0.2290421390204704
5,BRI,0.2482573581704679,ab,-0.07326268245826162
6,Bangkok Bank,0.25759266117115054,ab,-0.06392737945757898
7,CCB,0.3501530438387065,ab,0.02863300320997697
8,CIMB,0.27447474589832,ab,-0.047045294730409526
9,CMB,0.2346548622487726,ab,-0.08686517837995691
10,CNCBI,0.18950145643926952,ab,-0.13201858418946
11,Chong Hing,0.31609991349830235,ab,-0.005420127130427166
12,CitiBank,1.0638492372048842,ab,0.7423291965761547
13,DBS,0.4164673988747746,ab,0.09494735824604505
14,Dah Sing,0.27731865045234266,ab,-0.04420139017638686
15,HSBC,0.13624853105568746,ab,-0.18527150957304206
16,Hana Bank,0.35642718168179005,ab,0.03490714105306053
17,Hong Leong,0.2468598640278784,ab,-0.07466017660085111
18,ICBC,0.3338171053715385,ab,0.012297064742809005
19,KTB,0.1738030413331417,ab,-0.14771699929558782
20,MUFG,0.3318857161682469,ab,0.010365675539517394
21,Maybank,0.2524791372420713,ab,-0.06904090338665819
22,OCBC,0.33905594593891153,ab,0.01753590531018201
23,PSBC,0.2968961375235482,ab,-0.02462390310518131
24,RHB,0.2786881114964127,ab,-0.042831929132316815
25,SBI,0.24265610183114858,ab,-0.07886393879758094
26,SCB,0.3667542343439818,ab,0.04523419371525228
27,Shinhan,0.4991704480066127,ab,0.17765040737788318
28,UOB,0.45986451605298334,ab,0.13834447542425382
29,AXA IM,0.8902666309856645,am,0.4854474291078575
30,Aegon,0.13837344086349296,am,-0.26644576101431405
31,Allianz,0.5301969013786808,am,0.1253776995008738
32,Ameriprise,0.25248168806066273,am,-0.15233751381714428
33,Ashmore,0.24634244907039368,am,-0.15847675280741333
34,Aviva,0.5327486520054497,am,0.12792945012764273
35,BNP Paribas,0.24452387027963,am,-0.16029533159817702
36,BNY Mellon,0.3545422031157088,am,-0.050276998762098235
37,BOCHK,0.30837784635981774,am,-0.09644135551798927
38,BOCOM,0.514283975145659,am,0.10946477326785203
39,Barings,0.4439675173213549,am,0.03914831544354791
40,BlackRock,0.5062874387188152,am,0.1014682368410082
41,BofA,0.1218895491804589,am,-0.2829296526973481
42,CICC,0.09216628248010551,am,-0.3126529193977015
43,CITIC Capital,0.1800865342943799,am,-0.2247326675834271
44,CMBC,0.2590785917268741,am,-0.14574061015093293
45,Capital Group,0.29338192722391826,am,-0.11143727465388875
46,Credit Suisse,0.45184190954644105,am,0.047022707668634034
47,Deutsche,0.5830896346026417,am,0.17827043272483473
48,E Fund,0.33315143113861007,am,-0.07166777073919695
49,Edward Jones,0.2360142862998438,am,-0.1688049155779632
50,Everbright,0.27486010478093,am,-0.12995909709687703
51,Fidelity,0.6370111011031132,am,0.2321918992253062
52,First Sentier,0.5068447568135213,am,0.10202555493571425
53,Fisch,0.16031633659831226,am,-0.24450286527949475
54,Fullerton,0.4869614342599261,am,0.0821422323821191
55,GAM,0.6284852311287832,am,0.22366602925097617
56,Goldman Sachs,0.3543565262307036,am,-0.05046267564710344
57,HSBC AM,0.0,am,-0.404819201877807
58,Hang Seng,0.2641660231595864,am,-0.14065317871822058
59,Insight,0.37705239996244216,am,-0.027766801915364847
60,Invesco,0.44629859262534505,am,0.041479390747538036
61,JPMorgan Chase,0.40808959589248756,am,0.0032703940146805444
62,L&G,0.49109182259040185,am,0.08627262071259484
63,Manulife,0.67282603954223,am,0.26800683766442296
64,Morgan Stanley,0.43413644482598973,am,0.02931724294818272
65,Muzinich,0.5407735529635606,am,0.13595435108575354
66,NB,0.4708261772606945,am,0.06600697538288747
67,Ninety One,0.48437013736701257,am,0.07955093548920555
68,PGIM,0.47357640724005406,am,0.06875720536224705
69,PIMCO,0.8700735035977921,am,0.4652543017199851
70,Pictet,0.5513045218977436,am,0.14648532001993658
71,Schroders,0.48801243337946215,am,0.08319323150165514
72,Sinopac,0.3542217191100296,am,-0.050597482767777424
73,Standard Life,0.5003872656981225,am,0.09556806382031552
74,SuMi TRUST,0.3258903542187131,am,-0.07892884765909391
75,T. Rowe Price,0.45322060997157426,am,0.04840140809376725
76,TIAA,0.3407127947127015,am,-0.06410640716510552
77,UBS,0.4504574985571161,am,0.045638296679309076
78,UOB AM,0.49731868312215594,am,0.09249948124434892
79,Value Partners,0.10477191576556885,am,-0.3000472861122382
80,Vanguard,0.46207551484060705,am,0.05725631296280004
81,Wellington,0.43183544050848693,am,0.027016238630679923
82,ABP,0.44606810710587996,pf,0.028071311626553908
83,AP Fonden 1,0.19389287747410508,pf,-0.22410391800522098
84,AP Fonden 2,0.46043547929324347,pf,0.04243868381391741
85,AP Fonden 3,0.30546288161658847,pf,-0.11253391386273759
86,AP Fonden 4,0.30814363145025525,pf,-0.1098531640290708
87,AP Fonden 7,0.5267096445792548,pf,0.10871284909992879
88,CPP,0.8106624092193624,pf,0.39266561374003633
89,CalPERS,0.19765792899708848,pf,-0.22033886648223758
90,CalSTRS,0.34640178059513554,pf,-0.07159501488419051
91,FDC,0.7633133637835002,pf,0.3453165683041742
92,Future Fund,0.112307820106178,pf,-0.30568897537314804
93,GEPF,0.1340687816936818,pf,-0.28392801378564425
94,GPF,0.43171823426992406,pf,0.013721438790598006
95,GPIF,0.7563578093287194,pf,0.3383610138493934
96,ISIF,0.6553017322422068,pf,0.23730493676288072
97,NPS,0.23944624591409236,pf,-0.1785505495652337
98,AIA,0.4175987867313074,ins,0.15817018193450583
99,AXA,0.20147698477448153,ins,-0.057951620022320044
